date,text,sentiment,value,change,series_id,indicator_name
2020-10-01,Real GDP Growth Rate remained unchanged at 4.60 Percent in 2020-10-01.,neutral,4.6,0.0,A191RL1Q225SBEA,Real GDP Growth Rate
2021-01-01,Real GDP Growth Rate increased by 1.10 Percent to 5.70 Percent in 2021-01-01.,neutral,5.7,1.1000000000000003,A191RL1Q225SBEA,Real GDP Growth Rate
2021-04-01,Real GDP Growth Rate increased by 1.30 Percent to 7.00 Percent in 2021-04-01.,neutral,7.0,1.2999999999999998,A191RL1Q225SBEA,Real GDP Growth Rate
2021-07-01,Real GDP Growth Rate decreased by 3.70 Percent to 3.30 Percent in 2021-07-01.,negative,3.3,-3.7,A191RL1Q225SBEA,Real GDP Growth Rate
2021-10-01,Real GDP Growth Rate increased by 3.70 Percent to 7.00 Percent in 2021-10-01.,positive,7.0,3.7,A191RL1Q225SBEA,Real GDP Growth Rate
2022-01-01,Real GDP Growth Rate decreased by 8.00 Percent to -1.00 Percent in 2022-01-01.,negative,-1.0,-8.0,A191RL1Q225SBEA,Real GDP Growth Rate
2022-04-01,Real GDP Growth Rate increased by 1.60 Percent to 0.60 Percent in 2022-04-01.,neutral,0.6,1.6,A191RL1Q225SBEA,Real GDP Growth Rate
2022-07-01,Real GDP Growth Rate increased by 2.30 Percent to 2.90 Percent in 2022-07-01.,neutral,2.9,2.3,A191RL1Q225SBEA,Real GDP Growth Rate
2022-10-01,Real GDP Growth Rate decreased by 0.10 Percent to 2.80 Percent in 2022-10-01.,negative,2.8,-0.1,A191RL1Q225SBEA,Real GDP Growth Rate
2023-01-01,Real GDP Growth Rate increased by 0.10 Percent to 2.90 Percent in 2023-01-01.,neutral,2.9,0.1,A191RL1Q225SBEA,Real GDP Growth Rate
2023-04-01,Real GDP Growth Rate decreased by 0.40 Percent to 2.50 Percent in 2023-04-01.,negative,2.5,-0.3999999999999999,A191RL1Q225SBEA,Real GDP Growth Rate
2023-07-01,Real GDP Growth Rate increased by 2.20 Percent to 4.70 Percent in 2023-07-01.,neutral,4.7,2.2,A191RL1Q225SBEA,Real GDP Growth Rate
2023-10-01,Real GDP Growth Rate decreased by 1.30 Percent to 3.40 Percent in 2023-10-01.,negative,3.4,-1.3000000000000005,A191RL1Q225SBEA,Real GDP Growth Rate
2024-01-01,Real GDP Growth Rate decreased by 2.60 Percent to 0.80 Percent in 2024-01-01.,negative,0.8,-2.5999999999999996,A191RL1Q225SBEA,Real GDP Growth Rate
2024-04-01,Real GDP Growth Rate increased by 2.80 Percent to 3.60 Percent in 2024-04-01.,positive,3.6,2.8,A191RL1Q225SBEA,Real GDP Growth Rate
2024-07-01,Real GDP Growth Rate decreased by 0.30 Percent to 3.30 Percent in 2024-07-01.,negative,3.3,-0.3000000000000002,A191RL1Q225SBEA,Real GDP Growth Rate
2024-10-01,Real GDP Growth Rate decreased by 1.40 Percent to 1.90 Percent in 2024-10-01.,negative,1.9,-1.4,A191RL1Q225SBEA,Real GDP Growth Rate
2025-01-01,Real GDP Growth Rate decreased by 2.50 Percent to -0.60 Percent in 2025-01-01.,negative,-0.6,-2.5,A191RL1Q225SBEA,Real GDP Growth Rate
2025-04-01,Real GDP Growth Rate increased by 4.40 Percent to 3.80 Percent in 2025-04-01.,positive,3.8,4.3999999999999995,A191RL1Q225SBEA,Real GDP Growth Rate
2020-10-01,Real Gross Domestic Product remained unchanged at $20.79 million Billions in 2020-10-01.,neutral,20791.917,0.0,GDPC1,Real Gross Domestic Product
2021-01-01,Real Gross Domestic Product increased by 290.22 Billions to $21.08 million Billions in 2021-01-01.,positive,21082.134,290.2169999999969,GDPC1,Real Gross Domestic Product
2021-04-01,Real Gross Domestic Product increased by 358.80 Billions to $21.44 million Billions in 2021-04-01.,positive,21440.929,358.7950000000019,GDPC1,Real Gross Domestic Product
2021-07-01,Real Gross Domestic Product increased by 176.90 Billions to $21.62 million Billions in 2021-07-01.,positive,21617.828,176.89900000000125,GDPC1,Real Gross Domestic Product
2021-10-01,Real Gross Domestic Product increased by 370.91 Billions to $21.99 million Billions in 2021-10-01.,positive,21988.737,370.9089999999997,GDPC1,Real Gross Domestic Product
2022-01-01,Real Gross Domestic Product decreased by 56.03 Billions to $21.93 million Billions in 2022-01-01.,negative,21932.71,-56.02700000000186,GDPC1,Real Gross Domestic Product
2022-04-01,Real Gross Domestic Product increased by 34.33 Billions to $21.97 million Billions in 2022-04-01.,positive,21967.045,34.33499999999913,GDPC1,Real Gross Domestic Product
2022-07-01,Real Gross Domestic Product increased by 158.58 Billions to $22.13 million Billions in 2022-07-01.,positive,22125.625,158.58000000000175,GDPC1,Real Gross Domestic Product
2022-10-01,Real Gross Domestic Product increased by 152.72 Billions to $22.28 million Billions in 2022-10-01.,positive,22278.345,152.72000000000116,GDPC1,Real Gross Domestic Product
2023-01-01,Real Gross Domestic Product increased by 161.26 Billions to $22.44 million Billions in 2023-01-01.,positive,22439.607,161.2619999999988,GDPC1,Real Gross Domestic Product
2023-04-01,Real Gross Domestic Product increased by 140.89 Billions to $22.58 million Billions in 2023-04-01.,positive,22580.499,140.89199999999985,GDPC1,Real Gross Domestic Product
2023-07-01,Real Gross Domestic Product increased by 260.49 Billions to $22.84 million Billions in 2023-07-01.,positive,22840.989,260.4900000000016,GDPC1,Real Gross Domestic Product
2023-10-01,Real Gross Domestic Product increased by 192.79 Billions to $23.03 million Billions in 2023-10-01.,positive,23033.78,192.79099999999744,GDPC1,Real Gross Domestic Product
